-34.388,-35.329,-36.546,-35.538,-35.245,-47.14,-47.048,-43.589,-44.208,-46.411,-48.541,-51.88,-55.95,-54.167,-62.752,-51.663,-52.057,-56.301,-70.205,-59.966,-58.218,-61.169,-64,-55.249,-54.525,-61.821,-55.742,-57.849,-56.367,-55.879,-56.561,-60.365
-23.497,-22.491,-19.529,-20.885,-27.705,-40.435,-38.543,-34.161,-41.486,-49.456,-57.076,-58.912,-45.858,-57.97,-43.221,-47.387,-47.823,-46.057,-50.857,-43.791,-42.068,-47.931,-51.439,-43.008,-42.375,-47.185,-50.529,-51.601,-57.55,-44.715,-49.386,-53.357
-21.53,-29.707,-22.226,-22.609,-29.842,-40.774,-43.252,-44.86,-36.906,-33.458,-38.888,-43.413,-39.922,-45.149,-50.454,-52.514,-55.034,-40.618,-40.482,-50.453,-44.589,-43.869,-50.8,-46.93,-42.23,-40.569,-46.83,-52.08,-42.556,-45.204,-55.34,-43.472
-29.347,-15.43,-23.809,-21.17,-27.711,-29.951,-28.208,-32.666,-44.609,-37.398,-38.233,-44.778,-44.147,-44.658,-43.364,-42.321,-37.731,-41.424,-49.475,-48.366,-51.924,-41.435,-41.638,-43.43,-45.283,-37.905,-45.778,-45.502,-56.415,-46.218,-42.143,-51.93
-29.413,-21.224,-32.844,-33.199,-34.247,-45.087,-41.489,-37.945,-35.838,-39.606,-34.68,-36.294,-56.294,-46.22,-46.945,-49.087,-52.196,-46.56,-45.814,-45.38,-45.79,-45.472,-38.751,-46.951,-44.577,-44.108,-43.595,-47.591,-46.862,-44.394,-46.143,-42.116
-22.689,-20.299,-18.241,-25.864,-32.61,-33.077,-36.702,-37.027,-31.015,-34.493,-38.667,-41.963,-39.709,-44.98,-38.023,-47.126,-47.091,-45.52,-48.715,-46.805,-48.177,-48.883,-52.558,-42.426,-39.212,-40.155,-41.709,-41.973,-43.493,-42.61,-45.386,-46.861
-22.963,-22.942,-35.089,-20.323,-24.283,-36.262,-39.092,-38.537,-37.971,-40.971,-39.138,-55.564,-41.198,-38.929,-42.281,-44.182,-36.647,-39.923,-53.236,-58.268,-41.707,-38.413,-40.188,-47.622,-55.123,-52.903,-45.341,-43.472,-53.858,-46.127,-41.945,-52.734
-44.034,-33.317,-20.032,-22.215,-30.234,-27.826,-31.506,-48.966,-35.642,-45.377,-40.594,-38.435,-49.916,-49.477,-50.458,-44.566,-52.566,-55.525,-43.76,-50.188,-46.925,-44.618,-43.476,-38.369,-42.479,-46.397,-58.012,-56.541,-47.403,-41.321,-45.09,-55.084
-32.156,-25.096,-20.229,-21.35,-29.387,-34.091,-42.3,-37.831,-50.585,-42.42,-42.208,-47.352,-40.626,-38.225,-45.327,-46.5,-47.505,-40.921,-37.691,-36.058,-38.263,-56.336,-55.548,-45.787,-40.348,-45.391,-51.268,-48.456,-46.379,-44.11,-42.262,-48.346
-38.661,-30.644,-25.015,-16.897,-17.914,-30.405,-26.765,-33.272,-36.993,-40.199,-36.712,-34.557,-38.559,-48.791,-45.588,-50.009,-45.764,-46.398,-46.388,-42.652,-40.831,-38.913,-38.826,-39.988,-41.755,-45.527,-55.954,-43.839,-40.649,-39.506,-41.777,-39.672
-17.711,-17.773,-21.567,-16.954,-24.219,-23.342,-31.403,-26.744,-34.83,-40.995,-35.144,-34.425,-37.51,-39.443,-39.904,-37.703,-36.488,-38.734,-41.821,-35.155,-39.696,-38.37,-38.406,-40.466,-39.936,-62.135,-46.656,-59.69,-55.96,-42.833,-46.214,-45.253
-27.368,-17.948,-15.674,-22.938,-32.93,-28.1,-23.759,-29.227,-22.93,-22.737,-23.838,-19.784,-24.798,-25.581,-20.088,-25.082,-17.403,-16.612,-16.818,-11.294,-12.824,-16.784,-13.674,-18.008,-17.948,-16.461,-22.647,-12.685,-21.896,-13.974,-10.772,-16.025
